"name","C","n_features","time_total","time_preproc","time_vect","time_tuning","time_crossval"
"alpha-1",1,7367,2.416848,0.000731,0.076729,5e-06,2.339383
"alpha-2",0.1,7367,17.224557,0.001084,0.083234,14.797082,2.343157
"alpha-3",1,7367,19.918846,0.001806,0.083313,17.19118,2.642547
"alpha-4",1,6646,19.311271,0.002506,0.083801,16.679298,2.545666
"alpha-5",10,40675,42.503305,0.002452,0.222851,35.918917,6.359085
"alpha-6",10,93174,63.146733,0.003341,0.422006,53.639773,9.081613
"beta-1",1,7211,19.713802,0.015928,0.084303,17.073646,2.539925
"beta-2",1,7120,14.605382,0.166116,0.058648,12.430403,1.950215
"beta-3",10,36870,28.639628,0.161525,0.161561,24.065517,4.251025
"beta-4",10,72161,41.365702,0.161806,0.293967,35.147978,5.761951
"gamma-1",1,5547,15.482987,1.609158,0.056459,11.87579,1.94158
"gamma-2",10,35112,30.94212,1.654106,0.158876,24.781243,4.347895
"gamma-3",10,71479,44.392422,1.655397,0.280886,36.393615,6.062524
