"txt","val"
"The talks had been halted earlier Friday after the Houthi delegation suspended all meetings with the internationally recognized government in protest over cease-fire violations.",0
"The Government has also brought to the attention of the Commission reports of violations of the ceasefire by the JEM and the SLM.",0
"But Taylor ultimately fought to a draw, signed a cease-fire and won a presidential election in 1997.",0
"Unless they can come together and come up with some changes of policy that will make the changes necessary to prevent a further outbreak of war, then it is simply a ceasefire.",0
"Rival rebel groups fighting over control of a central diamond mining town in the Central African Republic have signed a government-sponsored truce aimed at ending sporadic clashes, which have claimed over 50 lives since the beginning of September.",1
"The Mission's mandate included Supporting the ceasefire, Observing the disengagement of armed forces; Protecting civilians; Promoting human rights; Supporting reform of the military and police; Promoting the Peace Process and supporting the conduct of national elections.",0
"A fragile cease-fire is holding in anticipation of U.S. troops.",0
"Brigadier-General Maxwell Khobe said in a statement issued in the capital Freetown that the Nigerian-led ECOMOG force was in the West African nation to bring peace and should itself respect a unilateral truce.",1
"""We gave priority to compromises and consensus in order not to be an obstacle to peace...This is why we approved this document and why we are ready to sign,"" he told Reuters late on Wednesday, after the draft ceasefire agreement was signed by defence and foreign ministers of the warring states in Lusaka.",0
"""While any decision on such a force will inevitably be linked with progress in the political negotiations,"" the mission report said, ""plans for deployment should be drawn up rapidly, since delay will risk renewed breakdowns of the cease-fire.""",0
"Uganda's deputy foreign minister, Asuman Kiyingi, said Tuesday that Uganda was trying to negotiate a cease-fire but he also took aim at the U.N.",0
"Most of the fans called for a ceasefire but the artists and the two camps for a time seemed tranquil.",0
"The postponement of the talks cut hopes among aid agencies and donors that the three-month cease-fire to facilitate aid efforts would be extended.",0
"""This goes beyond ceasefire violations,"" Col. Gagnon said.",0
"The announcement came after weeks of promises to intervene, repeatedly stalled by deliberations over funding and broken cease-fires in Monrovia.",0
"Two weeks ago, the five West African nations told the three main parties in the war - President Doe, Mr. Taylor and Prince Johnson, a rival rebel leader - that there must be a firm truce in the war and that a multinational peacekeeping force must be sent to disengage the warring factions.",0
"The regional force, to be funded by Western countries, is due to replace troops from former colonial power France, who evacuated hundreds of foreigners trapped behind rebel lines before staying in place to monitor the ceasefire.",0
"Despite the cease-fire agreement, State Department officials have said such support will continue.",0
"Guerrillas declare indefinite unilateral ceasefire but promised to call it off if they come under attack by government forces""",1
"Rebels and the government of the Central African Republic have signed a ceasefire deal in Gabon, calling for a national unity government to end recent fighting"".",1
"A ceasefire between the warring factions was still holding on Tuesday, three days after it took effect.",1
"Ajello, who ended a three-day mission to Bujumbura on Friday, told reporters that President Pierre Buyoya ""was agreed (that) the peace process has to go on"", but he added that ""the ceasefire problem needs to be looked at in depth"".",0
"Annan said none of the conditions have yet been met that would allow the U.N. to go ahead a carry out a scheduled deployment next month: the parties are not adhering to the cease-fire or cooperating with U.N. personnel; U.N. staff members don't have freedom of movement and troops being offered to the U.N. mission don't have adequate strength, equipment and training.",0
